frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
223,0.005093,0.001677,0.030284,0.007815,0.044870,0.000000,0.044870,1982933,2,248,10
224,0.006063,0.002012,0.033010,0.007407,0.048492,0.000000,0.048492,1985223,2,248,10
225,0.006106,0.001956,0.033215,0.008447,0.049723,0.000000,0.049723,1978630,2,248,10
226,0.005675,0.001860,0.033052,0.008893,0.049481,0.000000,0.049481,1877576,2,248,10
227,0.003524,0.001600,0.027393,0.007914,0.040431,0.000000,0.040431,1940691,2,248,10
228,0.004162,0.002143,0.027536,0.006248,0.040090,0.000000,0.040090,1837513,2,248,10
229,0.003854,0.001870,0.027942,0.023020,0.056686,0.000000,0.056686,2322354,2,248,10
230,0.003725,0.002004,0.027403,0.020960,0.054092,0.000000,0.054092,2296602,2,248,10
231,0.002936,0.002278,0.027457,0.020455,0.053126,0.000000,0.053126,2216287,2,248,10
232,0.005710,0.003081,0.025082,0.019226,0.053099,0.000000,0.053099,2179906,2,248,10
233,0.011627,0.001874,0.021673,0.013943,0.049117,0.000000,0.049117,1983150,2,248,10
234,0.012848,0.004965,0.027784,0.009111,0.054708,0.000000,0.054708,2018017,2,248,10
235,0.003438,0.002087,0.025843,0.008373,0.039742,0.000000,0.039742,1985837,2,248,10
236,0.003361,0.001370,0.025605,0.006059,0.036395,0.000000,0.036395,1897180,2,248,10
237,0.005967,0.002035,0.025644,0.006126,0.039772,0.000000,0.039772,1964651,2,248,10
238,0.007716,0.001636,0.024916,0.007937,0.042204,0.000000,0.042204,1991837,2,248,10
239,0.006680,0.002259,0.023194,0.010848,0.042982,0.000000,0.042982,1988774,2,248,10
240,0.004675,0.003554,0.025148,0.011818,0.045195,0.000000,0.045195,1889533,2,248,10
241,0.006223,0.002929,0.024011,0.009415,0.042578,0.000000,0.042578,2026029,2,248,10
242,0.004662,0.003123,0.024109,0.007883,0.039777,0.000000,0.039777,2037542,2,248,10
243,0.006769,0.003005,0.026612,0.010726,0.047112,0.000000,0.047112,2073891,2,248,10
244,0.011340,0.002412,0.026805,0.009336,0.049894,0.000000,0.049894,2107899,2,248,10
245,0.010061,0.002337,0.023528,0.007459,0.043385,0.000000,0.043385,2061009,2,248,10
246,0.006713,0.001975,0.023884,0.006895,0.039467,0.000000,0.039467,2061726,2,248,10
247,0.003160,0.001808,0.022626,0.007543,0.035136,0.000000,0.035136,2087998,2,248,10
248,0.004016,0.002535,0.025292,0.010071,0.041914,0.000000,0.041914,2061906,2,248,10
249,0.004037,0.002138,0.026087,0.007438,0.039699,0.000000,0.039699,2013046,2,248,10
250,0.004390,0.001765,0.028139,0.010612,0.044906,0.000000,0.044906,1994117,2,248,10
251,0.004128,0.003726,0.026750,0.010928,0.045532,0.000000,0.045532,1989899,2,248,10
252,0.005029,0.003162,0.027803,0.009571,0.045565,0.000000,0.045565,1943203,2,248,10
253,0.005328,0.002671,0.028126,0.009514,0.045640,0.000000,0.045640,1896180,2,248,10
254,0.005809,0.004305,0.027119,0.006753,0.043986,0.000000,0.043986,1891185,2,248,10
255,0.003249,0.001786,0.027289,0.008485,0.040809,0.000000,0.040809,1898323,2,248,10
